Date,Open,High,Low,Close,Adj Close,Volume
2017-08-15,9.880000,9.980000,9.760000,9.850000,9.850000,699923
2017-08-16,9.900000,9.900000,9.440000,9.600000,9.600000,393289
2017-08-17,9.690000,9.850000,9.660000,9.850000,9.850000,343716
2017-08-18,9.900000,10.400000,9.850000,10.300000,10.300000,1594342
2017-08-22,10.300000,10.500000,10.000000,10.100000,10.100000,644246
2017-08-23,10.150000,10.450000,10.150000,10.400000,10.400000,431706
2017-08-24,10.400000,10.400000,10.100000,10.200000,10.200000,405188
2017-08-25,10.300000,10.750000,10.250000,10.750000,10.750000,1225464
2017-08-28,10.800000,11.100000,10.500000,10.600000,10.600000,946669
2017-08-29,10.600000,10.800000,10.300000,10.800000,10.800000,229010
2017-08-30,10.800000,10.950000,10.650000,10.750000,10.750000,195522
2017-08-31,10.800000,10.950000,10.650000,10.900000,10.900000,167074
2017-09-01,10.900000,10.900000,10.700000,10.750000,10.750000,214311
2017-09-04,10.750000,11.250000,10.650000,11.250000,11.250000,407329
2017-09-05,null,null,null,null,null,null
2017-09-06,null,null,null,null,null,null
2017-09-07,11.250000,11.250000,11.250000,11.250000,11.250000,0
2017-09-08,11.250000,11.250000,11.250000,11.250000,11.250000,0
2017-09-11,null,null,null,null,null,null
2017-09-12,null,null,null,null,null,null
2017-09-13,null,null,null,null,null,null
2017-09-14,null,null,null,null,null,null
2017-09-15,11.250000,11.300000,11.100000,11.250000,11.250000,289571
2017-09-18,11.150000,11.500000,11.150000,11.350000,11.350000,265055
2017-09-19,11.350000,11.850000,11.350000,11.750000,11.750000,517208
2017-09-20,11.850000,12.050000,11.700000,11.900000,11.900000,651924
2017-09-21,12.000000,12.300000,11.900000,12.250000,12.250000,932466
2017-09-22,12.300000,12.400000,11.800000,12.000000,12.000000,1091538
2017-09-25,12.200000,12.200000,11.750000,11.750000,11.750000,586294
2017-09-26,11.800000,12.000000,11.650000,11.700000,11.700000,406735
2017-09-27,11.750000,11.800000,11.400000,11.600000,11.600000,446293
2017-09-28,11.450000,12.250000,11.450000,12.250000,12.250000,671228
2017-09-29,12.300000,12.400000,11.900000,12.250000,12.250000,985350
2017-10-02,12.400000,12.550000,12.000000,12.200000,12.200000,642765
2017-10-03,12.200000,12.300000,11.950000,12.100000,12.100000,708671
2017-10-04,12.100000,12.150000,11.750000,11.850000,11.850000,859803
2017-10-05,12.000000,12.350000,12.000000,12.150000,12.150000,778312
2017-10-06,12.100000,12.250000,11.850000,12.100000,12.100000,426236
2017-10-10,12.100000,12.250000,11.900000,12.100000,12.100000,799052
2017-10-11,12.150000,12.300000,11.900000,12.000000,12.000000,674937
2017-10-12,11.900000,12.250000,11.900000,12.100000,12.100000,646608
2017-10-13,12.000000,12.100000,11.850000,11.900000,11.900000,257326
2017-10-16,null,null,null,null,null,null
2017-10-17,11.850000,11.950000,11.300000,11.550000,11.550000,389027
